lulusan_id,mahasiswa_id,prodi_id,tanggal_lulus,ipk,lama_studi_bulan,status_pasca_lulus,nama_perusahaan,bidang_kerja,masa_tunggu_bulan,sumber_data,ingested_at
LLS227822c1,2021TI13730,TI,2025-08-20,3.4,66,Bekerja,,Sesuai,5,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS0dd2bcd5,2020TK09670,TK,2025-08-23,3.24,43,Belum Bekerja,Bank Indonesia,Sesuai,17,Tracer Study,2026-05-13T19:21:14+07:00
LLSb0ac81b3,2021TP40364,TP,2025-02-04,3.23,64,Bekerja,JICA Indonesia,Sesuai,9,Tracer Study,2026-05-13T19:21:14+07:00
LLSe137c965,2020AR34362,AR,2024-09-15,3.46,68,Bekerja,IPB University,Tidak Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSc53139ae,2018TM10724,TM,2022-11-18,3.63,54,Belum Bekerja,Bank Indonesia,Sesuai,13,Tracer Study,2026-05-13T19:21:14+07:00
LLS1c268298,2022TI23796,TI,2026-01-01,2.83,56,Studi Lanjut,,Tidak Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSc72f71fa,2022AR03920,AR,2026-01-01,3.6,56,Belum Bekerja,,Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS53149b46,2023TE49898,TE,2027-01-01,3.64,70,Belum Bekerja,Politeknik Negeri Lampung,Tidak Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSa171cb46,2021AG13098,AG,2025-07-06,2.99,50,Studi Lanjut,Universitas Lampung,Tidak Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSf2072e37,2021AG41622,AG,2025-10-07,3.46,60,Belum Bekerja,UNDP Indonesia,Tidak Sesuai,11,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS445db546,2020PWK48418,PWK,2025-02-10,3.41,50,Bekerja,,Sesuai,15,Tracer Study,2026-05-13T19:21:14+07:00
LLS83f0a0cd,2023TM37894,TM,2027-01-01,3.28,58,Wirausaha,Unsri,Tidak Sesuai,14,Tracer Study,2026-05-13T19:21:14+07:00
LLSf1f6f8b0,2020KIM40036,KIM,2024-06-11,3.47,65,Bekerja,Unila,Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLScee6d041,2022TLK30016,TLK,2026-01-01,3.22,61,Belum Bekerja,,Sesuai,18,Tracer Study,2026-05-13T19:21:14+07:00
LLSb0a7a057,2018TLK29035,TLK,2024-03-15,3.04,51,Belum Bekerja,Universitas Indonesia,Sesuai,3,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS2aeb6f31,2019TE38989,TE,2025-08-20,3.84,71,Bekerja,,Sesuai,2,Tracer Study,2026-05-13T19:21:14+07:00
LLSa150ce54,2021AG17239,AG,2025-07-12,2.92,44,Bekerja,ITB,Tidak Sesuai,14,Tracer Study,2026-05-13T19:21:14+07:00
LLS9b8bccac,2021MTK27333,MTK,2025-09-05,3.44,69,Bekerja,,Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5ed72c9e,2018SK12002,SK,2022-05-26,2.99,59,Bekerja,Telkom University,Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSd4c909bd,2021TG27113,TG,2025-04-12,2.97,42,Bekerja,Telkom University,Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLS9da9b938,2019TE06551,TE,2023-04-02,3.33,45,Belum Bekerja,TU Delft,Sesuai,11,Tracer Study,2026-05-13T19:21:14+07:00
LLSa2030f6b,2021MB24438,MB,2025-07-15,3.72,71,Bekerja,IPB University,Sesuai,0,Tracer Study,2026-05-13T19:21:14+07:00
LLSe08e7c06,2021AG19859,AG,2025-03-14,3.05,59,Bekerja,Unsri,Tidak Sesuai,5,Tracer Study,2026-05-13T19:21:14+07:00
LLS22a5aa46,2023MB10448,MB,2027-01-01,3.22,63,Bekerja,TU Delft,Tidak Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS6eae9c11,2022TK20730,TK,2026-01-01,3.09,56,Bekerja,Huawei Indonesia,Tidak Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLScb7915e7,2022SI23513,SI,2026-01-01,2.94,59,Belum Bekerja,PT Telkom Indonesia,Sesuai,16,Tracer Study,2026-05-13T19:21:14+07:00
LLS377e0896,2021GL34629,GL,2025-11-28,3.94,67,Belum Bekerja,Unila,Tidak Sesuai,2,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSbf93954a,2018PWK05916,PWK,2023-09-30,3.02,64,Bekerja,,Sesuai,4,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSa2886c5e,2018TL26300,TL,2023-07-02,3.6,46,Bekerja,Universiti Malaya,Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSdfdcc570,2019GD40048,GD,2023-01-13,3.33,50,Studi Lanjut,BPS Lampung,Tidak Sesuai,11,Tracer Study,2026-05-13T19:21:14+07:00
LLS924df8fb,2018AR07366,AR,2023-10-09,2.77,66,Bekerja,,Tidak Sesuai,4,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSbe4ba891,2019AG27997,AG,2024-02-25,3.4,56,Bekerja,UNDP Indonesia,Sesuai,7,Tracer Study,2026-05-13T19:21:14+07:00
LLSe7441dc5,2023MTK15502,MTK,2027-01-01,2.86,64,Bekerja,,Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLS7d4beb49,2021GD08872,GD,2025-07-25,3.82,47,Bekerja,,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLSb012017d,2018AR38300,AR,2022-09-11,3.0,54,Bekerja,UNDP Indonesia,Tidak Sesuai,15,Tracer Study,2026-05-13T19:21:14+07:00
LLS5ed03243,2022SK10873,SK,2026-01-01,3.87,49,Bekerja,Unsri,Tidak Sesuai,15,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS50ac8a23,2021TS10364,TS,2025-07-08,3.94,52,Studi Lanjut,ITS,Sesuai,9,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSeaf9edff,2023BIO40969,BIO,2027-01-01,3.09,47,Bekerja,Bank Indonesia,Tidak Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLS92d3032b,2018TE19420,TE,2024-09-05,3.02,51,Bekerja,ITS,Sesuai,9,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSdd87c4ff,2019PWK00605,PWK,2025-01-23,3.29,71,Studi Lanjut,BPS Lampung,Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS2e9f1c96,2021TE20084,TE,2025-12-12,2.75,69,Bekerja,Toyota Motor Manufacturing,Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS8c859551,2018SI33999,SI,2024-06-09,2.93,54,Bekerja,,Tidak Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS54965331,2020TM35467,TM,2025-11-22,3.82,59,Belum Bekerja,Toyota Motor Manufacturing,Tidak Sesuai,11,Tracer Study,2026-05-13T19:21:14+07:00
LLS58c847bc,2023TL00181,TL,2027-01-01,3.48,68,Wirausaha,,Sesuai,16,Tracer Study,2026-05-13T19:21:14+07:00
LLS834ffa63,2018TS40539,TS,2023-01-07,3.67,47,Belum Bekerja,Google Indonesia,Tidak Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5b52574c,2023SK07916,SK,2027-01-01,2.87,50,Bekerja,Google Indonesia,Sesuai,9,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS60e119ab,2022TL14172,TL,2026-01-01,2.96,43,Bekerja,World Bank Jakarta,Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS803a7838,2018GL08037,GL,2022-10-27,2.89,47,Wirausaha,BRIN,Sesuai,14,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS04d9b18b,2019TLK05789,TLK,2024-08-06,3.32,53,Bekerja,NUS Singapore,Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS78d20308,2020TI15666,TI,2025-07-18,2.99,57,Bekerja,Huawei Indonesia,Sesuai,3,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS4b85c2a4,2018TE21609,TE,2024-02-26,3.41,53,Belum Bekerja,,Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS4764ace6,2021IF32119,IF,2025-05-02,3.01,52,Belum Bekerja,NUS Singapore,Tidak Sesuai,13,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSa2efdd4f,2022TS38485,TS,2026-01-01,2.85,72,Belum Bekerja,Universiti Malaya,Tidak Sesuai,2,Tracer Study,2026-05-13T19:21:14+07:00
LLS579cc652,2020AG28835,AG,2024-12-26,2.83,46,Studi Lanjut,LIPI,Tidak Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS938f4e95,2020TK49772,TK,2025-05-10,3.86,45,Bekerja,Google Indonesia,Sesuai,13,Tracer Study,2026-05-13T19:21:14+07:00
LLSd914b027,2022GL48398,GL,2026-01-01,2.9,51,Belum Bekerja,ITB,Sesuai,8,Tracer Study,2026-05-13T19:21:14+07:00
LLS350d6da0,2022TLK25200,TLK,2026-01-01,3.27,62,Bekerja,Osaka University,Tidak Sesuai,5,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSb4c9dc92,2023TS08329,TS,2027-01-01,3.82,46,Bekerja,JICA Indonesia,Sesuai,8,Tracer Study,2026-05-13T19:21:14+07:00
LLSf5a0ab6c,2022TL23240,TL,2026-01-01,3.42,53,Bekerja,,Sesuai,15,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS4b5e0e74,2022FT29332,FT,2026-01-01,3.46,65,Bekerja,ITB,Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSd18663ed,2019GD30054,GD,2023-02-06,3.78,70,Bekerja,,Tidak Sesuai,12,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS0641626d,2022TLK04518,TLK,2026-01-01,3.28,69,Bekerja,,Tidak Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5a8ef1b9,2021PWK40291,PWK,2025-03-06,2.77,66,Bekerja,ITS,Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS0e40f958,2019AG13628,AG,2024-06-03,2.91,59,Studi Lanjut,Chulalongkorn University,Sesuai,15,Tracer Study,2026-05-13T19:21:14+07:00
LLS98d585ec,2019FIS40027,FIS,2024-03-15,2.78,45,Studi Lanjut,PT Telkom Indonesia,Sesuai,15,Tracer Study,2026-05-13T19:21:14+07:00
LLSc016ec9c,2020FIS08445,FIS,2024-09-27,2.81,48,Belum Bekerja,LIPI,Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS08d78a97,2023KIM33923,KIM,2027-01-01,2.86,49,Wirausaha,,Sesuai,0,Tracer Study,2026-05-13T19:21:14+07:00
LLSd8b0dd4f,2018TS03210,TS,2023-09-23,3.92,50,Bekerja,,Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLS16ae1578,2023GL44386,GL,2027-01-01,2.89,51,Belum Bekerja,LIPI,Sesuai,2,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSffaf00b9,2023AG12136,AG,2027-01-01,2.95,62,Belum Bekerja,JICA Indonesia,Sesuai,4,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSbfda9d91,2020TM16023,TM,2025-03-23,3.43,46,Bekerja,World Bank Jakarta,Sesuai,12,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSaa94193c,2023TM41480,TM,2027-01-01,3.46,55,Studi Lanjut,,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLS862c36e4,2020GL09587,GL,2024-10-05,2.76,44,Bekerja,Unila,Tidak Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS0a4f9973,2018TG39403,TG,2024-05-26,3.37,72,Bekerja,,Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS1af4a757,2018PWK19239,PWK,2022-12-12,3.63,43,Bekerja,,Tidak Sesuai,12,Tracer Study,2026-05-13T19:21:14+07:00
LLSca9cb73b,2019TP03805,TP,2025-12-09,3.45,50,Belum Bekerja,,Sesuai,15,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSb89f3d31,2023AG34790,AG,2027-01-01,3.83,62,Belum Bekerja,,Tidak Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSf1c10f44,2023TLK04838,TLK,2027-01-01,2.93,52,Wirausaha,UGM,Sesuai,14,Tracer Study,2026-05-13T19:21:14+07:00
LLS615524d7,2019TK47593,TK,2023-08-20,2.94,59,Studi Lanjut,PT Telkom Indonesia,Tidak Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS9e39b48b,2022FIS08889,FIS,2026-01-01,3.8,42,Wirausaha,,Tidak Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSacc6101e,2022AR30259,AR,2026-01-01,3.45,72,Studi Lanjut,TU Delft,Tidak Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS2dc34207,2020TLK24692,TLK,2025-06-28,3.85,64,Bekerja,TU Delft,Sesuai,2,Tracer Study,2026-05-13T19:21:14+07:00
LLS45dcabb1,2020KIM26884,KIM,2024-01-28,3.48,56,Studi Lanjut,,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLS727636f2,2021BIO35949,BIO,2025-12-15,3.52,59,Bekerja,ITS,Tidak Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS072ccb78,2019AG32872,AG,2025-09-14,3.27,63,Belum Bekerja,NUS Singapore,Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSd5322593,2022TS22918,TS,2026-01-01,3.68,50,Bekerja,LIPI,Tidak Sesuai,4,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSaa181ecb,2023SI38434,SI,2027-01-01,3.75,66,Bekerja,,Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSc38a993f,2022SI38936,SI,2026-01-01,2.76,65,Belum Bekerja,Telkom University,Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS710d64a7,2020TS19499,TS,2025-10-29,2.79,62,Wirausaha,BPS Lampung,Tidak Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSebcdee28,2021GD42658,GD,2025-03-21,2.84,52,Bekerja,Universitas Lampung,Tidak Sesuai,17,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSdab44f29,2018FT22278,FT,2022-08-29,3.94,64,Bekerja,,Tidak Sesuai,8,Tracer Study,2026-05-13T19:21:14+07:00
LLSc2a5f193,2023TE14005,TE,2027-01-01,3.83,66,Bekerja,Politeknik Negeri Lampung,Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS09c58e8f,2021FT38735,FT,2025-11-07,3.44,58,Bekerja,IPB University,Sesuai,3,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSd70f6bc6,2023FT15264,FT,2027-01-01,3.75,46,Studi Lanjut,Osaka University,Tidak Sesuai,18,Tracer Study,2026-05-13T19:21:14+07:00
LLSfc2399bc,2023TI32837,TI,2027-01-01,3.57,69,Bekerja,JICA Indonesia,Tidak Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS7143f87d,2019FT13263,FT,2025-03-21,3.82,70,Bekerja,Unsri,Tidak Sesuai,4,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLScfbec5d7,2019TS36047,TS,2023-06-21,3.0,67,Studi Lanjut,Universitas Lampung,Tidak Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLSa87eee64,2020TL39363,TL,2024-09-15,2.94,62,Wirausaha,UNDP Indonesia,Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS3e5bde0c,2022KIM47611,KIM,2026-01-01,3.21,69,Belum Bekerja,UNDP Indonesia,Sesuai,9,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS53fae1b2,2021TS31294,TS,2025-07-11,3.81,47,Bekerja,Universiti Malaya,Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5d157c12,2022TS35326,TS,2026-01-01,3.58,42,Belum Bekerja,TU Delft,Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS92ff8525,2022TL06040,TL,2026-01-01,3.11,59,Studi Lanjut,Telkom University,Tidak Sesuai,3,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSad335807,2023TK15994,TK,2027-01-01,3.45,55,Bekerja,,Sesuai,9,Tracer Study,2026-05-13T19:21:14+07:00
LLS34ca2987,2023TL44820,TL,2027-01-01,3.27,49,Wirausaha,PT Astra International,Sesuai,13,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS95bcce74,2023GL48870,GL,2027-01-01,2.9,42,Belum Bekerja,TU Delft,Sesuai,1,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS9d50ae9b,2023FIS13237,FIS,2027-01-01,3.36,51,Bekerja,,Tidak Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSea05ff5c,2022AG08356,AG,2026-01-01,3.72,60,Belum Bekerja,Bank Indonesia,Sesuai,11,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS78ad0cff,2021AR06108,AR,2025-07-31,3.79,43,Wirausaha,Kyushu University,Tidak Sesuai,8,Tracer Study,2026-05-13T19:21:14+07:00
LLS007ecb15,2022KIM30131,KIM,2026-01-01,2.86,52,Studi Lanjut,Telkom University,Tidak Sesuai,5,Tracer Study,2026-05-13T19:21:14+07:00
LLSf2df3c9a,2021FIS13484,FIS,2025-07-04,3.52,62,Bekerja,,Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLS123c4c60,2023SK48891,SK,2027-01-01,3.7,67,Bekerja,,Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSae1d8143,2023TG33798,TG,2027-01-01,3.45,70,Wirausaha,TU Delft,Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5849cba4,2018MTK43248,MTK,2022-03-23,3.84,64,Bekerja,,Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS97d68345,2022PWK28138,PWK,2026-01-01,3.49,54,Studi Lanjut,,Sesuai,14,Tracer Study,2026-05-13T19:21:14+07:00
LLS8846dd3b,2018MTK28778,MTK,2023-04-11,3.8,52,Bekerja,,Tidak Sesuai,17,Tracer Study,2026-05-13T19:21:14+07:00
LLSc43d0a2c,2023IF41401,IF,2027-01-01,3.75,63,Bekerja,,Sesuai,4,Tracer Study,2026-05-13T19:21:14+07:00
LLSdfe8fa02,2020AG00439,AG,2025-01-02,3.2,72,Bekerja,PT PLN,Tidak Sesuai,1,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS95b6f83c,2023AR11046,AR,2027-01-01,3.68,65,Studi Lanjut,Bank Indonesia,Sesuai,1,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS8434574f,2020FT40245,FT,2025-07-15,2.8,72,Bekerja,Toyota Motor Manufacturing,Sesuai,15,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS1dfd7679,2018TM45375,TM,2023-02-24,2.88,49,Bekerja,,Tidak Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS8abfacf8,2023AR36926,AR,2027-01-01,2.79,48,Bekerja,JICA Indonesia,Tidak Sesuai,5,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSb21297d1,2023AR03529,AR,2027-01-01,3.12,72,Belum Bekerja,Chulalongkorn University,Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLSa076c3a5,2022TM21012,TM,2026-01-01,2.84,68,Belum Bekerja,Toyota Motor Manufacturing,Tidak Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSc3819145,2019KIM32492,KIM,2023-05-18,2.81,53,Studi Lanjut,,Tidak Sesuai,4,Tracer Study,2026-05-13T19:21:14+07:00
LLSe2ae5f91,2019TK49698,TK,2025-02-09,3.87,72,Bekerja,JICA Indonesia,Tidak Sesuai,2,Tracer Study,2026-05-13T19:21:14+07:00
LLSbe170891,2018TLK45985,TLK,2022-04-15,3.47,70,Belum Bekerja,IPB University,Tidak Sesuai,2,Tracer Study,2026-05-13T19:21:14+07:00
LLSf7fe3227,2019MB31727,MB,2024-08-25,3.6,62,Bekerja,,Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5735384a,2018TI31714,TI,2024-02-06,2.93,47,Belum Bekerja,,Tidak Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSac282a68,2020TG38848,TG,2024-01-23,2.93,47,Belum Bekerja,PT Bukit Asam,Tidak Sesuai,5,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS1f927b79,2019TM01103,TM,2025-04-01,3.22,63,Belum Bekerja,Universitas Indonesia,Sesuai,16,Tracer Study,2026-05-13T19:21:14+07:00
