mbkm_id,mahasiswa_id,prodi_id,jenis_mbkm,institusi_mitra,sks_diakui,tahun,semester,prestasi_nasional,ingested_at
MBKMa550f7a9,2021TK35320,TK,KKN Tematik,Universiti Malaya,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM096c7eab,2023SI20974,SI,KKN Tematik,Huawei Indonesia,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMea04c544,2022AG46032,AG,Wirausaha,JICA Indonesia,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM3237836a,2021TG37827,TG,Wirausaha,BMKG,22,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMd8b169ee,2021TI32487,TI,KKN Tematik,Telkom University,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM08f5fba8,2022TG15027,TG,KKN Tematik,PT Pertamina,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMb3cf5cee,2023TI01816,TI,KKN Tematik,ITS,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMa5cf7d4e,2020BIO40042,BIO,Magang,NUS Singapore,20,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMbde0d3db,2023TG15177,TG,KKN Tematik,Kyushu University,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM61c3c61f,2021TL00134,TL,Proyek Kemanusiaan,Unsri,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM7288f481,2024MTK19136,MTK,Wirausaha,Chulalongkorn University,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM1c166908,2020TL22530,TL,Wirausaha,Toyota Motor Manufacturing,22,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKMe7391bae,2023SK39038,SK,Proyek Kemanusiaan,PT Pertamina,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMd23dd8b5,2021SI48493,SI,KKN Tematik,Universitas Lampung,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM35807ff4,2024AG22188,AG,Magang,Universiti Malaya,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM38e5c760,2022TM29750,TM,Proyek Kemanusiaan,Kyushu University,20,2025,Ganjil,True,2026-05-13T19:21:15+07:00
MBKMad5c0320,2024AR06001,AR,Riset,JICA Indonesia,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM494752c4,2024TI33857,TI,Wirausaha,Bank Indonesia,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM6a708d61,2020IF23365,IF,Riset,Universitas Lampung,20,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM59f5285b,2020KIM00514,KIM,Wirausaha,Kyushu University,20,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM6a5b83f5,2022AR25398,AR,Magang,PT Pertamina,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMa748efbf,2023SK02675,SK,Wirausaha,Google Indonesia,24,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM2f33419b,2020BIO39252,BIO,Proyek Kemanusiaan,Politeknik Negeri Lampung,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM060395a5,2024FT05261,FT,Proyek Kemanusiaan,ITB,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM7ae88372,2024TS26041,TS,Wirausaha,ITS,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM7766fe02,2023TL19454,TL,Proyek Kemanusiaan,World Bank Jakarta,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM8ed034b8,2020IF11587,IF,Wirausaha,Osaka University,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMc64cb7f8,2024TLK16964,TLK,Proyek Kemanusiaan,PT Pertamina,20,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM05b14dd5,2023MB20000,MB,Pertukaran,PT Bukit Asam,20,2025,Ganjil,True,2026-05-13T19:21:15+07:00
MBKMf43f3922,2022SI09595,SI,Pertukaran,TU Delft,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMb1a4e46d,2021BIO28840,BIO,Proyek Kemanusiaan,PT Pertamina,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM364693c3,2021KIM00907,KIM,Riset,Huawei Indonesia,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMd746f5a5,2024GD08121,GD,Pertukaran,Universiti Malaya,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM9f2ddbb1,2024SI14761,SI,KKN Tematik,PT Telkom Indonesia,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMcf30c5d3,2024TS44075,TS,Pertukaran,PT PLN,22,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMd39c038d,2020TM31408,TM,Magang,Huawei Indonesia,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMf09fddd2,2021PWK31279,PWK,Pertukaran,PT Astra International,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM62e6842b,2024SK25425,SK,Riset,UNDP Indonesia,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM8bf37f4b,2022TG47691,TG,Proyek Kemanusiaan,NUS Singapore,20,2024,Genap,True,2026-05-13T19:21:15+07:00
MBKM0d76ef23,2020FT41127,FT,Proyek Kemanusiaan,Universitas Lampung,24,2021,Genap,False,2026-05-13T19:21:15+07:00
MBKMdf2e1200,2020TG22980,TG,KKN Tematik,PT Pertamina,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMf603b610,2020TK05836,TK,KKN Tematik,PT Bukit Asam,20,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMbc38e0e5,2023AR17107,AR,KKN Tematik,Universitas Indonesia,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM00d49871,2021TL34736,TL,KKN Tematik,PT Bukit Asam,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMecca205b,2024MB44436,MB,Magang,Universitas Indonesia,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM9d3391b3,2021PWK25865,PWK,Riset,JICA Indonesia,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM72e95ca8,2021TL00314,TL,Wirausaha,Telkom University,6,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMa360d5fe,2020AR30643,AR,Magang,PT Telkom Indonesia,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM7b3aa723,2024AG03910,AG,Magang,PT PLN,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMefcafb7e,2022TK41103,TK,KKN Tematik,PT Astra International,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMfc89d417,2024IF22150,IF,Magang,NUS Singapore,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM4fd4ec36,2023TK17342,TK,Riset,NUS Singapore,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMb767e9df,2023SK08955,SK,Magang,Universitas Indonesia,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMf4719e3e,2023TS04448,TS,Proyek Kemanusiaan,BRIN,24,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMc467d697,2023SI42381,SI,KKN Tematik,PT PLN,22,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMaf60bcd8,2020FIS15995,FIS,Wirausaha,PT Astra International,22,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMf5bad075,2021TM19796,TM,KKN Tematik,Universitas Lampung,6,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM2cf67f26,2022TS16186,TS,Riset,BMKG,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM8b185657,2024AG49871,AG,Magang,ITS,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMf33af503,2023TK06012,TK,Magang,PT Telkom Indonesia,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMa1139ec4,2024SK46692,SK,Magang,PT Bukit Asam,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMf801e23c,2024TP26285,TP,KKN Tematik,Universitas Indonesia,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM7b653a81,2021TS14734,TS,KKN Tematik,BMKG,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM30cb32c6,2023MB17680,MB,KKN Tematik,NUS Singapore,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMd208dfd9,2023TL45490,TL,Magang,TU Delft,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM5b6d0495,2024TE24826,TE,Riset,BMKG,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMc2d85164,2024TS33032,TS,Proyek Kemanusiaan,Universitas Lampung,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM69f633c6,2022TP48883,TP,Magang,Universitas Indonesia,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMe2d98dba,2020MTK16641,MTK,Riset,Kyushu University,20,2021,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM976ee45f,2020GL47726,GL,KKN Tematik,World Bank Jakarta,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM4134f7c8,2021TM17430,TM,Magang,PT PLN,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMa193bf9c,2022TI19588,TI,Magang,Bank Indonesia,12,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM25e57e92,2020SK30139,SK,KKN Tematik,BMKG,12,2021,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM1ca81db6,2020TS06600,TS,Proyek Kemanusiaan,BRIN,20,2021,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMae3146ef,2021IF21935,IF,Pertukaran,Osaka University,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM5553da04,2021GD09360,GD,Pertukaran,Universitas Lampung,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMb320dacf,2021TLK34535,TLK,Pertukaran,Politeknik Negeri Lampung,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM2f1beb74,2023MB20773,MB,Riset,PT Pertamina,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM06360bcb,2022TS27857,TS,KKN Tematik,UGM,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMbf4e7883,2021PWK47507,PWK,Proyek Kemanusiaan,Huawei Indonesia,22,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM82003dd5,2022TLK41595,TLK,Riset,LIPI,12,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM18842a4b,2024BIO30392,BIO,Pertukaran,Universitas Indonesia,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM8651bf19,2021KIM01911,KIM,Wirausaha,Chulalongkorn University,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMdd618cae,2021AG06138,AG,Riset,JICA Indonesia,24,2023,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM9dbad779,2024TG44916,TG,Pertukaran,Telkom University,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM3b9226c1,2023FIS34303,FIS,Magang,Huawei Indonesia,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM96ab8f02,2021SK14325,SK,Riset,JICA Indonesia,24,2024,Genap,True,2026-05-13T19:21:15+07:00
MBKMf3b9be46,2022IF48107,IF,Wirausaha,World Bank Jakarta,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM9e2ff3f3,2023GD25505,GD,Wirausaha,Telkom University,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM5bbbccab,2022GL19418,GL,Pertukaran,PT PLN,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM2eedb457,2024TG24570,TG,Riset,BPS Lampung,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM1bb7cf51,2023BIO40732,BIO,Magang,BPS Lampung,22,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM17575ba9,2023PWK34659,PWK,Proyek Kemanusiaan,BPS Lampung,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMa37ed1fe,2024TL01895,TL,Magang,ITB,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMb11455fe,2023MTK37547,MTK,Magang,PT Bukit Asam,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM9d19a98f,2023TLK08379,TLK,Wirausaha,UNDP Indonesia,20,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMdc32e6cb,2023AG49143,AG,Proyek Kemanusiaan,ITS,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMff9c9f7e,2024TE00099,TE,Wirausaha,TU Delft,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM370e1989,2023AG27720,AG,Wirausaha,PT Telkom Indonesia,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMf39168d5,2022MTK09752,MTK,KKN Tematik,BPS Lampung,20,2023,Ganjil,True,2026-05-13T19:21:15+07:00
MBKMac87c62a,2024MB47698,MB,Pertukaran,World Bank Jakarta,12,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM78e70043,2023TL44820,TL,Proyek Kemanusiaan,JICA Indonesia,12,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMd58cc02c,2023FIS27620,FIS,Pertukaran,LIPI,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMfc4d912b,2022TLK33653,TLK,KKN Tematik,ITB,22,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMb5c1c7af,2021TK02071,TK,KKN Tematik,LIPI,22,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM3f22544c,2024TS19708,TS,KKN Tematik,PT Pertamina,22,2025,Ganjil,True,2026-05-13T19:21:15+07:00
MBKM98bbd216,2024SK02235,SK,Wirausaha,ITB,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMe3ef7a7d,2024TM37163,TM,Magang,World Bank Jakarta,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMece996a4,2021AR05475,AR,Proyek Kemanusiaan,World Bank Jakarta,24,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMc13a4eab,2020KIM34445,KIM,Pertukaran,ITS,20,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMf9e94caf,2021TS35485,TS,Proyek Kemanusiaan,LIPI,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM9e2bea34,2021BIO13734,BIO,Magang,ITS,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM1ae1805f,2024TI46050,TI,Pertukaran,Huawei Indonesia,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMee5318c1,2020AG03324,AG,Magang,UNDP Indonesia,24,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM1005ecbb,2022TL18432,TL,Riset,BMKG,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM7b928c54,2022SK48580,SK,Magang,TU Delft,20,2024,Ganjil,True,2026-05-13T19:21:15+07:00
MBKM1f1e0fc8,2023PWK07841,PWK,Pertukaran,PT Astra International,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM24ec69d4,2023FT36852,FT,Riset,Huawei Indonesia,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM0db71dce,2024SI29071,SI,Pertukaran,Unsri,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMdea15d69,2023TP16676,TP,Magang,Toyota Motor Manufacturing,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM962b63dc,2024TS20566,TS,Magang,UNDP Indonesia,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMbdac2505,2024GL26546,GL,Riset,ITS,20,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM88b2bf0f,2020TP18303,TP,KKN Tematik,BMKG,12,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM7cd619b5,2022TLK29463,TLK,Wirausaha,TU Delft,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMeba942f5,2021PWK32916,PWK,Wirausaha,Chulalongkorn University,6,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMefd335ab,2023TP44810,TP,Wirausaha,Unila,12,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM12339dbe,2020TS43163,TS,KKN Tematik,Unsri,6,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKMa442417c,2022TS15322,TS,Magang,UGM,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM68913c81,2022TP06151,TP,KKN Tematik,Toyota Motor Manufacturing,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM0ef2ee42,2020TK43804,TK,Magang,UNDP Indonesia,6,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM024786e5,2024KIM12246,KIM,Magang,Osaka University,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMb2137af7,2020TG24994,TG,KKN Tematik,UGM,22,2021,Genap,True,2026-05-13T19:21:15+07:00
MBKM762590b0,2020TL40637,TL,Wirausaha,Politeknik Negeri Lampung,20,2021,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM657352a4,2021SK40067,SK,KKN Tematik,UNDP Indonesia,22,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM8296603c,2021SI42118,SI,Proyek Kemanusiaan,Politeknik Negeri Lampung,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM34340435,2021TL34440,TL,Wirausaha,PT Telkom Indonesia,22,2023,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMf1563096,2020MTK04617,MTK,Riset,Universiti Malaya,24,2021,Genap,False,2026-05-13T19:21:15+07:00
MBKM157cef56,2021TP47550,TP,KKN Tematik,Politeknik Negeri Lampung,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM23612cb9,2021TL27400,TL,Proyek Kemanusiaan,ITS,6,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM7f7c39cf,2024IF34477,IF,Pertukaran,UGM,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMb5b54ee3,2022TI07997,TI,Magang,Universitas Indonesia,6,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM38ddb21c,2021TP32936,TP,Riset,JICA Indonesia,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM163fa2e8,2023KIM35677,KIM,Magang,Kyushu University,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM5da9169b,2022GL07222,GL,Proyek Kemanusiaan,TU Delft,20,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM0146ae4e,2021GL29906,GL,Pertukaran,Universiti Malaya,24,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM248f60aa,2024TE48089,TE,Pertukaran,Google Indonesia,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM154050c5,2022SK45401,SK,KKN Tematik,JICA Indonesia,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM5ec6171c,2022GL41025,GL,Magang,Universitas Indonesia,12,2025,Ganjil,True,2026-05-13T19:21:15+07:00
MBKM4b714ac0,2021SK05395,SK,KKN Tematik,JICA Indonesia,22,2025,Ganjil,True,2026-05-13T19:21:15+07:00
MBKM59682959,2020BIO13600,BIO,Wirausaha,BPS Lampung,22,2021,Genap,False,2026-05-13T19:21:15+07:00
MBKM92ec193c,2021KIM47363,KIM,KKN Tematik,Osaka University,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM98e94b3d,2023TS25297,TS,Pertukaran,BRIN,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMbcde77c9,2023PWK26480,PWK,Proyek Kemanusiaan,UGM,12,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMfbb837eb,2024AG01648,AG,Pertukaran,PT Telkom Indonesia,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM03f89aee,2024FT36007,FT,Riset,Unila,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM843f4085,2020BIO14986,BIO,Riset,UGM,24,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM18695c30,2020TK15976,TK,Riset,BPS Lampung,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMbdf9a0a8,2020AG42157,AG,Wirausaha,Telkom University,6,2024,Ganjil,True,2026-05-13T19:21:15+07:00
MBKM6da7d368,2024AR31166,AR,Pertukaran,Chulalongkorn University,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM76184ffb,2021KIM39637,KIM,Proyek Kemanusiaan,BMKG,24,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMf9357266,2024TP37923,TP,Riset,Universitas Indonesia,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM04614f19,2021SK10245,SK,Magang,Kyushu University,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM86cfa2fe,2021MB43606,MB,Riset,Unila,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM41efc61b,2020SK45228,SK,Magang,Universitas Indonesia,24,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM21e7a2b9,2024AR25000,AR,KKN Tematik,BPS Lampung,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM73dda11a,2023FIS44035,FIS,Magang,Unila,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMe45007d7,2020TP29131,TP,Magang,JICA Indonesia,12,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM8a92f11a,2024TP44645,TP,Proyek Kemanusiaan,Google Indonesia,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM36786a94,2023SI47929,SI,Magang,BMKG,22,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMf7fe4a10,2021TM04306,TM,Wirausaha,Universiti Malaya,12,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMac66f7ed,2022GD30043,GD,Riset,Google Indonesia,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM15aeaba4,2023TI06427,TI,Riset,Chulalongkorn University,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMdf5e9bf3,2024TI43953,TI,Pertukaran,Chulalongkorn University,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM6c4834b3,2022PWK49815,PWK,Magang,IPB University,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM92bd1468,2020TS36212,TS,Proyek Kemanusiaan,ITB,12,2021,Genap,False,2026-05-13T19:21:15+07:00
MBKM20afc381,2024SK16498,SK,Pertukaran,BMKG,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM06aaa434,2020TP07016,TP,Riset,IPB University,20,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMc0c3b0eb,2023GD24861,GD,Pertukaran,UNDP Indonesia,12,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM16df7ab8,2021TK20076,TK,Riset,PT Astra International,6,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKM0c51785a,2022MB42251,MB,Wirausaha,PT Bukit Asam,6,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKM0c87bb43,2022SK26817,SK,Magang,Toyota Motor Manufacturing,20,2023,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMd13a50dc,2023TI13175,TI,Wirausaha,NUS Singapore,24,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM2e1463b0,2022TM46932,TM,Wirausaha,PT Bukit Asam,22,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMa6c920c0,2023MB23108,MB,KKN Tematik,Unila,12,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMf97f3e38,2024AR07810,AR,KKN Tematik,PT Bukit Asam,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM72b4ae58,2023IF00507,IF,Proyek Kemanusiaan,Universiti Malaya,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
