prestasi_id,mahasiswa_id,nama_kompetisi,bidang,tingkat,peringkat,tahun,dosen_pembina_id,ingested_at
PRS3e40926c,2020IF47211,Electric Vehicle Competition,Olahraga,Institusi,Juara 3,2020,0484403262,2026-05-13T19:21:15+07:00
PRS806e5614,2019KIM30518,ACM ICPC Regional,Teknologi,Regional,Juara 3,2024,0784087700,2026-05-13T19:21:15+07:00
PRSf7c88dbb,2020BIO44033,KMIPN,Teknologi,Nasional,Juara 3,2022,0975010735,2026-05-13T19:21:15+07:00
PRSbe955222,2022GD14438,ONMIPA,Debat,Institusi,Finalis,2022,0803723174,2026-05-13T19:21:15+07:00
PRSdaf4df1b,2022TLK09303,IoT Hackathon,Teknologi,Nasional,Juara 2,2022,0521669598,2026-05-13T19:21:15+07:00
PRSadbb8ebe,2018BIO16938,IoT Hackathon,Desain,Nasional,Juara 1,2023,0172024145,2026-05-13T19:21:15+07:00
PRS50cf7b1f,2019IF40728,Data Science Challenge,Seni,Institusi,Juara 1,2025,0333764779,2026-05-13T19:21:15+07:00
PRS06812287,2023TM40290,Imagine Cup,Desain,Nasional,Finalis,2020,0590988355,2026-05-13T19:21:15+07:00
PRSb93ae0b1,2018KIM49239,Pilmapres,Debat,Regional,Juara 1,2022,,2026-05-13T19:21:15+07:00
PRS58fcc20a,2025AR38948,National Bridge Competition,Olahraga,Internasional,Finalis,2020,0485999594,2026-05-13T19:21:15+07:00
PRSdafb1265,2018TM10793,Shell Eco-Marathon,Seni,Regional,Juara 3,2024,0836851678,2026-05-13T19:21:15+07:00
PRS8b743c27,2018MB10836,ACM ICPC Regional,Debat,Internasional,Juara 1,2022,,2026-05-13T19:21:15+07:00
PRSa2f4fa9c,2022TL38792,Pilmapres,Seni,Nasional,Juara 3,2020,0334615050,2026-05-13T19:21:15+07:00
PRS9220fe8f,2024GD27143,Pilmapres,Seni,Internasional,Juara 3,2023,,2026-05-13T19:21:15+07:00
PRS30f42379,2024TK35258,Pilmapres,Olahraga,Regional,Finalis,2024,,2026-05-13T19:21:15+07:00
PRSc0825f7f,2019MTK24102,Electric Vehicle Competition,Teknologi,Institusi,Juara 3,2024,0749689324,2026-05-13T19:21:15+07:00
PRSadb88c6d,2024TP45833,Pilmapres,Riset,Institusi,Finalis,2020,0362517025,2026-05-13T19:21:15+07:00
PRS961a2e1e,2018GD13309,Electric Vehicle Competition,Desain,Nasional,Juara 1,2023,0880134525,2026-05-13T19:21:15+07:00
PRSe716832d,2022KIM33120,Shell Eco-Marathon,Debat,Regional,Juara 1,2020,,2026-05-13T19:21:15+07:00
PRSe8467819,2021BIO30884,Pilmapres,Desain,Institusi,Juara 3,2025,0517916333,2026-05-13T19:21:15+07:00
PRS2231c869,2021TG19829,LKTIN Nasional,Riset,Regional,Finalis,2022,,2026-05-13T19:21:15+07:00
PRS1c09807f,2021TS09464,LKTIN Nasional,Debat,Institusi,Juara 3,2023,0872977624,2026-05-13T19:21:15+07:00
PRS5b1b1f62,2025MB20037,PKM Dikti,Olahraga,Internasional,Juara 2,2023,0122311470,2026-05-13T19:21:15+07:00
PRSedb481cf,2020TI26545,Imagine Cup,Debat,Internasional,Finalis,2021,0528976396,2026-05-13T19:21:15+07:00
PRSbfacb52d,2023TM33031,ONMIPA,Riset,Internasional,Juara 2,2025,0517969564,2026-05-13T19:21:15+07:00
PRSd63e00de,2023TS22974,LKTIN Nasional,Debat,Institusi,Finalis,2025,0657715210,2026-05-13T19:21:15+07:00
PRS98b3014b,2018AG34442,Electric Vehicle Competition,Riset,Institusi,Juara 3,2025,0899268111,2026-05-13T19:21:15+07:00
PRS316ccc61,2019TM03493,IoT Hackathon,Desain,Nasional,Juara 2,2024,0871761772,2026-05-13T19:21:15+07:00
PRS44f81685,2024GD06813,Geospatial Hackathon,Riset,Regional,Juara 1,2023,0414889797,2026-05-13T19:21:15+07:00
PRS38c396c6,2025PWK11718,Data Science Challenge,Olahraga,Institusi,Juara 1,2025,,2026-05-13T19:21:15+07:00
PRS43960088,2021MTK29439,ONMIPA,Riset,Institusi,Juara 1,2020,0860442478,2026-05-13T19:21:15+07:00
PRS074e146d,2020FIS11775,Pilmapres,Riset,Regional,Juara 3,2023,0302494243,2026-05-13T19:21:15+07:00
PRS465a1f9a,2023TLK35970,KMIPN,Debat,Regional,Finalis,2024,0963802727,2026-05-13T19:21:15+07:00
PRSee7aa232,2024SK39798,Data Science Challenge,Seni,Internasional,Juara 2,2020,0887325268,2026-05-13T19:21:15+07:00
PRS891759a5,2021TS13938,PKM Dikti,Seni,Institusi,Finalis,2025,0587101767,2026-05-13T19:21:15+07:00
PRSf27687a2,2018TE30731,Data Science Challenge,Seni,Institusi,Finalis,2023,0114414537,2026-05-13T19:21:15+07:00
PRS02cdfe02,2022TS21377,Electric Vehicle Competition,Olahraga,Institusi,Juara 3,2020,0510879637,2026-05-13T19:21:15+07:00
PRS96012bdb,2021TM25177,Gemastik,Debat,Internasional,Juara 2,2020,0935773493,2026-05-13T19:21:15+07:00
PRS6f73468c,2019AR43908,Shell Eco-Marathon,Desain,Nasional,Juara 2,2024,0444569616,2026-05-13T19:21:15+07:00
PRS79e6be2e,2019GD08853,Electric Vehicle Competition,Debat,Regional,Finalis,2021,0175134518,2026-05-13T19:21:15+07:00
PRSfb40e1a9,2021FIS42380,ONMIPA,Teknologi,Regional,Juara 1,2025,0457194303,2026-05-13T19:21:15+07:00
PRSa6c6bb5f,2018TI07097,IoT Hackathon,Debat,Institusi,Juara 3,2022,0755430725,2026-05-13T19:21:15+07:00
PRS014be164,2021TP32936,IoT Hackathon,Seni,Nasional,Juara 1,2023,0300602717,2026-05-13T19:21:15+07:00
PRSe39c0ce1,2022BIO29466,ONMIPA,Debat,Institusi,Juara 2,2020,0445141485,2026-05-13T19:21:15+07:00
PRS9a182305,2020TP01031,ONMIPA,Olahraga,Regional,Juara 1,2021,0299646164,2026-05-13T19:21:15+07:00
PRS4517877d,2021FIS00801,Shell Eco-Marathon,Olahraga,Institusi,Juara 2,2022,0658905377,2026-05-13T19:21:15+07:00
PRS4f729b9f,2018TS26403,Shell Eco-Marathon,Olahraga,Internasional,Finalis,2023,0525312538,2026-05-13T19:21:15+07:00
PRS724538ea,2018MB33486,LKTIN Nasional,Debat,Institusi,Finalis,2024,,2026-05-13T19:21:15+07:00
PRS62cb9f33,2020TM08878,ACM ICPC Regional,Seni,Nasional,Juara 2,2021,0898718079,2026-05-13T19:21:15+07:00
PRS0cb8bb07,2025FIS12805,ACM ICPC Regional,Teknologi,Regional,Juara 3,2021,0926529647,2026-05-13T19:21:15+07:00
PRS94a3dc59,2021AG20863,ONMIPA,Teknologi,Internasional,Juara 2,2024,0717596165,2026-05-13T19:21:15+07:00
PRSb68cc48c,2019PWK40855,Data Science Challenge,Olahraga,Regional,Juara 1,2020,0651207049,2026-05-13T19:21:15+07:00
PRScc232840,2021TE14705,KMIPN,Desain,Nasional,Finalis,2023,0157085311,2026-05-13T19:21:15+07:00
PRSd3b7df32,2020TK39424,National Bridge Competition,Teknologi,Institusi,Juara 3,2020,0175410459,2026-05-13T19:21:15+07:00
PRS47af71f2,2019GD47013,KMIPN,Teknologi,Regional,Juara 1,2023,,2026-05-13T19:21:15+07:00
PRSdbf171db,2023TLK10135,ACM ICPC Regional,Desain,Regional,Juara 3,2022,0920478520,2026-05-13T19:21:15+07:00
PRS08e22fd8,2025SK30407,Data Science Challenge,Desain,Institusi,Finalis,2022,0839791065,2026-05-13T19:21:15+07:00
PRS149e2898,2020GL09339,Imagine Cup,Olahraga,Nasional,Finalis,2025,0343772068,2026-05-13T19:21:15+07:00
PRS2abc7024,2019TLK39686,Gemastik,Riset,Internasional,Juara 1,2022,0127559398,2026-05-13T19:21:15+07:00
PRSbe960400,2024BIO15428,Geospatial Hackathon,Teknologi,Regional,Juara 1,2022,0404990218,2026-05-13T19:21:15+07:00
PRS72ebcffc,2023TM22553,PKM Dikti,Seni,Internasional,Juara 1,2024,0200900736,2026-05-13T19:21:15+07:00
PRSa57f3019,2021SK29728,Imagine Cup,Debat,Nasional,Finalis,2020,0120743724,2026-05-13T19:21:15+07:00
PRS8ecbe6e2,2021TS47816,LKTIN Nasional,Teknologi,Institusi,Juara 3,2021,0317575272,2026-05-13T19:21:15+07:00
PRS85fabcc1,2024FT35338,Kontes Robot Indonesia,Debat,Internasional,Finalis,2022,0782342638,2026-05-13T19:21:15+07:00
PRS676b71ec,2021TM47493,Smart City Competition,Olahraga,Nasional,Juara 2,2023,0548632132,2026-05-13T19:21:15+07:00
PRSeb8f31a5,2023GL38392,Electric Vehicle Competition,Teknologi,Internasional,Finalis,2021,0983330008,2026-05-13T19:21:15+07:00
PRSe9ea1a85,2020TP43552,Geospatial Hackathon,Riset,Internasional,Juara 3,2021,,2026-05-13T19:21:15+07:00
PRS535cf63c,2025TI14139,Smart City Competition,Riset,Nasional,Finalis,2022,0271442699,2026-05-13T19:21:15+07:00
PRS80031907,2019TI16911,IoT Hackathon,Seni,Regional,Juara 1,2022,0685679339,2026-05-13T19:21:15+07:00
PRS2deba4c9,2018BIO24900,LKTIN Nasional,Teknologi,Nasional,Juara 3,2025,0957099650,2026-05-13T19:21:15+07:00
PRS4476b6d1,2023TK17342,LKTIN Nasional,Seni,Nasional,Juara 3,2024,0694215381,2026-05-13T19:21:15+07:00
PRS56928c6d,2023TS20211,PKM Dikti,Teknologi,Institusi,Juara 1,2020,0127559398,2026-05-13T19:21:15+07:00
PRSe445a013,2020TP01218,Imagine Cup,Desain,Regional,Juara 2,2021,,2026-05-13T19:21:15+07:00
PRSbaffc53c,2020SI30371,Imagine Cup,Teknologi,Regional,Finalis,2023,0457194303,2026-05-13T19:21:15+07:00
PRS9c6d0ea0,2019GD31153,Kontes Robot Indonesia,Seni,Regional,Juara 3,2024,0954024688,2026-05-13T19:21:15+07:00
PRS968aed95,2024FIS17869,IoT Hackathon,Desain,Internasional,Juara 2,2025,0366025544,2026-05-13T19:21:15+07:00
PRS5f69d253,2022MB30312,Gemastik,Olahraga,Institusi,Juara 1,2024,,2026-05-13T19:21:15+07:00
PRSd714c2fe,2024TLK21559,PKM Dikti,Olahraga,Regional,Juara 2,2024,0543326307,2026-05-13T19:21:15+07:00
PRS32250c2a,2020MTK49283,Pilmapres,Olahraga,Regional,Juara 3,2020,0157085311,2026-05-13T19:21:15+07:00
PRS95bedddc,2024TL12569,Geospatial Hackathon,Desain,Institusi,Juara 1,2020,0853794273,2026-05-13T19:21:15+07:00
PRS883bd3e2,2020TL03804,Kontes Robot Indonesia,Riset,Regional,Finalis,2022,0349923494,2026-05-13T19:21:15+07:00
PRSedfcfbaa,2024SK25133,Imagine Cup,Debat,Nasional,Juara 1,2020,0134701127,2026-05-13T19:21:15+07:00
PRS157a5f7d,2018IF13707,LKTIN Nasional,Seni,Nasional,Juara 1,2024,0387606199,2026-05-13T19:21:15+07:00
PRS805a4339,2020AG48722,KMIPN,Teknologi,Nasional,Juara 2,2022,0117320669,2026-05-13T19:21:15+07:00
PRS8843caac,2022FIS14640,Shell Eco-Marathon,Teknologi,Regional,Juara 2,2025,0324734312,2026-05-13T19:21:15+07:00
PRS136a85ef,2021TE00989,Data Science Challenge,Desain,Institusi,Juara 2,2020,0955474382,2026-05-13T19:21:15+07:00
PRS111f1319,2020MB49743,Imagine Cup,Olahraga,Nasional,Juara 3,2020,0203672215,2026-05-13T19:21:15+07:00
PRS6aaee0ea,2021KIM25618,PKM Dikti,Desain,Institusi,Finalis,2025,0326064607,2026-05-13T19:21:15+07:00
PRSab8183db,2019IF18531,Geospatial Hackathon,Riset,Nasional,Juara 1,2025,,2026-05-13T19:21:15+07:00
PRS727aa110,2022PWK02512,Geospatial Hackathon,Teknologi,Regional,Juara 3,2025,0291345656,2026-05-13T19:21:15+07:00
PRS15ce1879,2025MB17390,Gemastik,Riset,Regional,Juara 3,2024,0343243455,2026-05-13T19:21:15+07:00
PRS56e522c1,2019FT35066,National Bridge Competition,Desain,Institusi,Juara 2,2025,0353090768,2026-05-13T19:21:15+07:00
PRSc9f96f30,2018FT06299,Geospatial Hackathon,Olahraga,Regional,Juara 1,2021,,2026-05-13T19:21:15+07:00
PRSf2896fb1,2021FIS41768,Pilmapres,Desain,Internasional,Juara 3,2020,0921555718,2026-05-13T19:21:15+07:00
PRS4cbf6032,2018FIS33048,Gemastik,Teknologi,Nasional,Juara 1,2020,0104195326,2026-05-13T19:21:15+07:00
PRS3bd3b398,2020TI03834,Pilmapres,Olahraga,Institusi,Juara 1,2022,0236649542,2026-05-13T19:21:15+07:00
PRS85aa1466,2021TI01738,Electric Vehicle Competition,Riset,Institusi,Juara 2,2024,0332472256,2026-05-13T19:21:15+07:00
PRS46e95158,2019TL34020,Electric Vehicle Competition,Teknologi,Regional,Finalis,2025,0713682603,2026-05-13T19:21:15+07:00
PRS6e35e2d1,2025AR45197,Kontes Robot Indonesia,Desain,Nasional,Juara 1,2025,0942085314,2026-05-13T19:21:15+07:00
PRS3e62c4cd,2022AR19909,Geospatial Hackathon,Desain,Regional,Finalis,2025,0625663143,2026-05-13T19:21:15+07:00
PRSc45cd9a7,2024MTK47104,IoT Hackathon,Desain,Nasional,Juara 3,2025,0234284212,2026-05-13T19:21:15+07:00
PRSd16716e6,2021KIM45509,PKM Dikti,Debat,Internasional,Finalis,2020,,2026-05-13T19:21:15+07:00
PRSc6e885ce,2021IF08593,ACM ICPC Regional,Olahraga,Regional,Finalis,2022,,2026-05-13T19:21:15+07:00
PRS1a1c08c5,2020PWK38440,National Bridge Competition,Debat,Institusi,Juara 2,2020,0810558028,2026-05-13T19:21:15+07:00
PRS6bfcf052,2021SK32727,KMIPN,Debat,Internasional,Juara 1,2024,0723108194,2026-05-13T19:21:15+07:00
PRS6aba794a,2025TK10826,Smart City Competition,Desain,Regional,Juara 1,2023,,2026-05-13T19:21:15+07:00
PRS1d75481f,2020SK15738,Imagine Cup,Olahraga,Regional,Finalis,2024,,2026-05-13T19:21:15+07:00
PRS27fbad3c,2018TP00196,ACM ICPC Regional,Riset,Nasional,Juara 3,2021,0165069570,2026-05-13T19:21:15+07:00
PRS02f7f179,2023FIS34747,Imagine Cup,Seni,Institusi,Juara 1,2023,0540010368,2026-05-13T19:21:15+07:00
PRSe729ded0,2018MTK16374,Data Science Challenge,Olahraga,Regional,Juara 1,2022,,2026-05-13T19:21:15+07:00
PRS21cdd80d,2021TI10239,Shell Eco-Marathon,Riset,Regional,Finalis,2023,,2026-05-13T19:21:15+07:00
PRS7e18d4e2,2022IF47125,LKTIN Nasional,Riset,Institusi,Finalis,2023,,2026-05-13T19:21:15+07:00
PRS010b104c,2020FT18503,PKM Dikti,Desain,Internasional,Juara 1,2024,0462848719,2026-05-13T19:21:15+07:00
PRS89e5c681,2025TM19147,Electric Vehicle Competition,Olahraga,Internasional,Finalis,2021,0592615514,2026-05-13T19:21:15+07:00
PRS1d29cca0,2023MTK18413,ACM ICPC Regional,Teknologi,Regional,Finalis,2022,0221832172,2026-05-13T19:21:15+07:00
PRS84019bf4,2019PWK06891,Geospatial Hackathon,Olahraga,Nasional,Finalis,2023,0101115030,2026-05-13T19:21:15+07:00
PRSc22a064a,2025PWK18382,Geospatial Hackathon,Debat,Nasional,Finalis,2021,0992602345,2026-05-13T19:21:15+07:00
PRS6873bad6,2021GL40577,IoT Hackathon,Debat,Regional,Finalis,2021,0384194695,2026-05-13T19:21:15+07:00
PRS1f12cbb9,2025AR31886,PKM Dikti,Seni,Institusi,Juara 3,2023,0201717085,2026-05-13T19:21:15+07:00
PRS734b0c51,2020KIM19603,Imagine Cup,Desain,Nasional,Juara 1,2022,0445141485,2026-05-13T19:21:15+07:00
PRS52caf4ca,2021TI28950,Pilmapres,Teknologi,Institusi,Finalis,2025,,2026-05-13T19:21:15+07:00
PRSf90fa45a,2022SK16663,IoT Hackathon,Teknologi,Institusi,Juara 2,2025,0110048693,2026-05-13T19:21:15+07:00
PRS7cc846c6,2020MB23422,KMIPN,Desain,Regional,Finalis,2024,0981960481,2026-05-13T19:21:15+07:00
PRS91219b97,2021SK20797,Pilmapres,Riset,Institusi,Finalis,2025,0546820612,2026-05-13T19:21:15+07:00
PRSfa2c50a9,2018MTK33442,National Bridge Competition,Debat,Regional,Juara 3,2020,0844529299,2026-05-13T19:21:15+07:00
PRSffa9a45c,2025KIM29306,Imagine Cup,Seni,Nasional,Finalis,2022,,2026-05-13T19:21:15+07:00
PRSaf4bb828,2022MB42251,Kontes Robot Indonesia,Seni,Nasional,Juara 2,2020,0488431558,2026-05-13T19:21:15+07:00
PRS982ce7ae,2023TS33973,ONMIPA,Riset,Internasional,Juara 1,2023,0185230420,2026-05-13T19:21:15+07:00
PRS0ebea2e6,2023TS32696,Data Science Challenge,Seni,Nasional,Juara 3,2020,0151274015,2026-05-13T19:21:15+07:00
PRSa1232b89,2024MB12928,Data Science Challenge,Seni,Nasional,Juara 3,2025,,2026-05-13T19:21:15+07:00
PRS55526b37,2024TM41678,Imagine Cup,Riset,Internasional,Juara 1,2025,0326307677,2026-05-13T19:21:15+07:00
PRS57c6cc4a,2022AR40786,IoT Hackathon,Desain,Nasional,Finalis,2020,0452291167,2026-05-13T19:21:15+07:00
PRS50b7df39,2024TE47941,ACM ICPC Regional,Desain,Nasional,Juara 3,2024,0305953231,2026-05-13T19:21:15+07:00
PRS1058e31f,2021TI30740,Geospatial Hackathon,Riset,Nasional,Juara 3,2024,0973834058,2026-05-13T19:21:15+07:00
PRS76778a2d,2022FT46484,PKM Dikti,Debat,Nasional,Juara 3,2023,0673376061,2026-05-13T19:21:15+07:00
PRSb2d66b9d,2022FIS15709,Data Science Challenge,Olahraga,Nasional,Juara 1,2022,0596727569,2026-05-13T19:21:15+07:00
PRS64355c6b,2020SI21590,KMIPN,Debat,Internasional,Juara 2,2025,0654016479,2026-05-13T19:21:15+07:00
PRSb3d58744,2021AG08567,Shell Eco-Marathon,Teknologi,Nasional,Finalis,2024,0294007242,2026-05-13T19:21:15+07:00
PRS937d9159,2021MTK48884,Smart City Competition,Teknologi,Internasional,Juara 2,2023,0619690228,2026-05-13T19:21:15+07:00
PRSd7c3976e,2018SI47934,Pilmapres,Riset,Nasional,Juara 3,2022,,2026-05-13T19:21:15+07:00
PRS2e0a5273,2023TG20925,Gemastik,Riset,Regional,Finalis,2023,0349923494,2026-05-13T19:21:15+07:00
PRSb0b11049,2018AG07234,Electric Vehicle Competition,Olahraga,Regional,Juara 2,2025,0951734189,2026-05-13T19:21:15+07:00
PRS0f921f55,2021PWK41097,Gemastik,Olahraga,Institusi,Juara 1,2023,0880134525,2026-05-13T19:21:15+07:00
PRSa6d6ec8e,2023TP20780,Shell Eco-Marathon,Seni,Regional,Juara 3,2024,0488431558,2026-05-13T19:21:15+07:00
PRSc4d8b778,2021TP20757,Shell Eco-Marathon,Teknologi,Nasional,Juara 2,2023,,2026-05-13T19:21:15+07:00
PRS014b66db,2020TL08413,PKM Dikti,Debat,Institusi,Juara 2,2022,,2026-05-13T19:21:15+07:00
PRSa17505a3,2019TS45241,Smart City Competition,Debat,Regional,Juara 1,2024,0517969564,2026-05-13T19:21:15+07:00
PRSc9896e3d,2020KIM48615,Kontes Robot Indonesia,Olahraga,Nasional,Juara 2,2024,0564119229,2026-05-13T19:21:15+07:00
PRSd6c64795,2019IF42860,IoT Hackathon,Debat,Institusi,Juara 1,2021,,2026-05-13T19:21:15+07:00
PRS671c2553,2023SK39999,Kontes Robot Indonesia,Olahraga,Institusi,Finalis,2020,0909109063,2026-05-13T19:21:15+07:00
PRS9400b433,2025TI28909,ONMIPA,Debat,Nasional,Juara 3,2021,0949309250,2026-05-13T19:21:15+07:00
PRS2dbda26e,2025FT09769,Geospatial Hackathon,Debat,Institusi,Juara 1,2021,0241489434,2026-05-13T19:21:15+07:00
PRSeb596ead,2025MB47538,Gemastik,Debat,Nasional,Juara 1,2023,0840615406,2026-05-13T19:21:15+07:00
PRS3e733f42,2024TL06560,Gemastik,Teknologi,Regional,Juara 3,2024,0975946664,2026-05-13T19:21:15+07:00
PRS04972f97,2024TP26314,Pilmapres,Teknologi,Regional,Finalis,2025,,2026-05-13T19:21:15+07:00
PRS714a518b,2019PWK03933,Shell Eco-Marathon,Olahraga,Institusi,Finalis,2025,0221832172,2026-05-13T19:21:15+07:00
PRSf9ea42f5,2018TL27718,Data Science Challenge,Riset,Nasional,Finalis,2021,0892349476,2026-05-13T19:21:15+07:00
PRS420b7dd7,2018TK00188,Data Science Challenge,Seni,Institusi,Juara 2,2020,0184510651,2026-05-13T19:21:15+07:00
PRS6dda3cce,2018TK39954,KMIPN,Desain,Nasional,Finalis,2020,,2026-05-13T19:21:15+07:00
PRS47ee848b,2020TP04014,Imagine Cup,Teknologi,Nasional,Juara 1,2021,0158385018,2026-05-13T19:21:15+07:00
PRS77d2434b,2023MB32907,KMIPN,Teknologi,Institusi,Juara 1,2025,,2026-05-13T19:21:15+07:00
PRS8bb849d2,2020AG42084,Pilmapres,Teknologi,Internasional,Juara 3,2021,,2026-05-13T19:21:15+07:00
PRS1f46a72b,2023TL43964,KMIPN,Seni,Institusi,Juara 1,2023,0307434142,2026-05-13T19:21:15+07:00
PRS4607713b,2024TP26285,National Bridge Competition,Seni,Internasional,Juara 3,2025,0327552610,2026-05-13T19:21:15+07:00
PRSc457bc6d,2021PWK01773,Electric Vehicle Competition,Desain,Institusi,Juara 1,2022,0596581672,2026-05-13T19:21:15+07:00
PRS771c08d0,2025TG48283,ONMIPA,Olahraga,Regional,Juara 1,2020,0849415118,2026-05-13T19:21:15+07:00
PRSef782713,2021TS36387,Imagine Cup,Olahraga,Regional,Juara 2,2024,,2026-05-13T19:21:15+07:00
PRSb3d9d5ce,2023FT21678,Shell Eco-Marathon,Olahraga,Internasional,Juara 3,2022,,2026-05-13T19:21:15+07:00
PRSe2825c86,2020TLK09906,Imagine Cup,Riset,Institusi,Juara 3,2020,,2026-05-13T19:21:15+07:00
PRS5d959f6d,2024AG19970,Electric Vehicle Competition,Riset,Institusi,Juara 2,2025,0252309384,2026-05-13T19:21:15+07:00
PRS21008b53,2022TE19431,National Bridge Competition,Desain,Internasional,Juara 1,2023,0789052255,2026-05-13T19:21:15+07:00
PRS7b641a91,2021GD39279,LKTIN Nasional,Seni,Nasional,Juara 2,2024,0457194303,2026-05-13T19:21:15+07:00
PRS94a760f5,2022TG46681,Kontes Robot Indonesia,Olahraga,Regional,Finalis,2021,0851719266,2026-05-13T19:21:15+07:00
